master,pair,station,lagtime,coefficient,phase,ttmaster,ttpair,dt
417,539,SIL08,-0.093803763,0.710093125,S,2.35,2.31,-0.04
417,539,SIL06,-0.015214122,0.810495806,P,2.03,2.08,0.05
417,539,SIL05,-0.001623237,0.750574352,P,2.19,2.32,0.13
417,539,SIL05,0.016126438,0.781967956,S,2.52,2.49,-0.03
417,539,SIL02,0.043172835,0.439167008,P,3.46,3.71,0.25
417,539,NIL10,0.047211882,0.700069456,S,2.28,2.28,0
417,539,NIL10,-0.022827113,0.637383046,P,2.24,2.35,0.11
417,539,NIL09,-0.083401409,0.784734545,P,2.9,2.65,-0.25
417,539,NIL09,-0.05532604,0.608208401,S,4.52,4.41,-0.11
417,539,NIL08,-0.020735901,0.810228376,S,2.79,2.78,-0.01
417,539,NIL08,-0.01849546,0.713451315,P,3.05,3.17,0.12
417,539,NIL06,-0.034226738,0.788327698,P,6.34,6.32,-0.02
417,539,NIL06,0.085189694,0.581109127,S,3.87,3.71,-0.16
417,539,NIL04,0.008558876,0.730801245,S,3.41,3.41,0
417,539,NIL04,0.002886236,0.799506258,P,4.19,3.76,-0.43
417,442,SIL08,0.027749143,0.859025025,P,2.17,2.19,0.02
417,442,SIL07,-0.002915296,0.604962282,P,3.69,3.82,0.13
417,442,SIL04,-0.013588455,0.84264106,P,2.35,2.31,-0.04
417,442,SIL06,-0.00148966,0.954909816,P,2.03,2.08,0.05
417,442,SIL05,-0.086271241,0.411391992,S,2.19,2.32,0.13
417,442,SIL05,-0.004128107,0.830851901,P,2.52,2.49,-0.03
417,442,SIL01,0.023604986,0.52974971,P,3.46,3.71,0.25
417,442,SIL01,-0.068987245,0.400297892,S,2.28,2.28,0
417,442,SIL02,-0.003349749,0.851530644,P,2.24,2.35,0.11
417,442,NIL10,-0.115898545,0.471083097,S,2.9,2.65,-0.25
417,442,NIL10,-0.003109713,0.933467741,P,4.52,4.41,-0.11
417,442,SIL03,-0.187653226,0.656882634,S,2.79,2.78,-0.01
